Date,Value,anomaly_kmeans,rolling_mean,rolling_std,z_score,anomaly_if,anomaly_svm,anomaly_lof,diff,cumsum,cumprod,common_anomaly,anomaly_count
2019-05-28,38.2400016784668,0,39.28919982910156,0.7223391538562322,-1.4525007332547122,1,-1,-1,,38.2400016784668,39.2400016784668,False,2
2019-05-29,37.41999816894531,0,38.86279983520508,1.0727141433935856,-1.3450010658901095,1,-1,-1,-0.8200035095214844,75.65999984741211,1507.6007926361053,False,2
2019-05-30,37.75,0,38.44879989624023,1.0084610414400763,-0.6929369281755787,1,-1,-1,0.3300018310546875,113.40999984741211,58419.53071464908,False,2
2019-05-31,37.02000045776367,0,38.079199981689456,1.1457195650597367,-0.9244841025915085,1,-1,-1,-0.7299995422363281,150.43000030517578,2221110.584513297,False,2
2019-06-03,37.10200119018555,0,37.50640029907227,0.5012735209258292,-0.806743408548321,1,-1,-1,0.082000732421875,187.53200149536133,84628758.13465935,False,2
2019-06-04,36.220001220703125,0,37.10240020751953,0.5713299848230965,-1.5444646881077422,1,-1,-1,-0.8819999694824219,223.75200271606445,3149882481.0786104,False,2
2019-06-05,39.73600006103516,0,37.5656005859375,1.3292741042327225,1.6327704483120495,1,-1,-1,3.5159988403320384,263.4880027770996,128313612941.47186,False,2
2019-06-06,40.88800048828125,0,38.19320068359375,2.0064151571292093,1.3430918297802505,1,1,-1,1.1520004272460866,304.37600326538086,5374800681545.505,False,1
2019-06-07,41.0,0,38.989200592041016,2.20433955486002,0.9122003928685452,1,1,-1,0.11199951171875,345.37600326538086,225741628624911.22,False,1
2019-06-10,42.04999923706055,0,39.978800201416014,2.2553758733909457,0.9183387390459649,1,1,-1,1.0499992370605469,387.4260025024414,9718176940075234.0,False,1
2019-06-11,43.82799911499024,0,41.50039978027344,1.537718881009561,1.5136702575887335,1,1,1,1.7779998779296946,431.25400161743164,4.3564642726901114e+17,False,0
2019-06-12,44.59000015258789,0,42.47119979858398,1.6717190360263823,1.2674380732304296,1,1,1,0.7620010375976491,475.84400177001953,1.9861120685668585e+19,False,0
2019-06-13,42.07600021362305,0,42.70879974365234,1.4616747353617798,-0.43292773331863804,1,1,-1,-2.5139999389648438,517.9200019836426,8.555376388986531e+20,False,1
2019-06-14,42.25,0,42.95879974365234,1.1751566670926112,-0.6031534037124971,1,1,1,0.17399978637695312,560.1700019836426,3.7002002882366743e+22,False,0
2019-06-17,43.09600067138672,0,43.168000030517575,1.0604308914912894,-0.06789632375722614,1,1,1,0.8460006713867188,603.2660026550293,1.6316403439434973e+24,False,0
2019-06-18,45.74399948120117,0,43.55120010375977,1.57829160805833,1.3893499567795728,1,1,1,2.647998809814453,649.0100021362305,7.626939539080174e+25,False,0
2019-06-19,45.02199935913086,0,43.63759994506836,1.6591291273988822,0.8344133022562911,1,1,1,-0.7220001220703125,694.0320014953613,3.5100700657967756e+27,False,0
2019-06-20,44.59999847412109,0,44.142399597167966,1.4339056462339923,0.3191276065862198,1,1,1,-0.42200088500977273,738.6319999694824,1.6005918964439107e+29,False,0
2019-06-21,43.24399948120117,0,44.341199493408205,1.145936423682498,-0.9574702309235886,1,1,1,-1.3559989929199148,781.8759994506836,7.081658703587918e+30,False,0
2019-06-24,44.64799880981445,0,44.65159912109375,0.9102948997901711,-0.003955104307548699,1,1,1,1.4039993286132812,826.523998260498,3.2326354807289347e+32,False,0
2019-06-25,44.87799835205078,0,44.47839889526367,0.7110685079887049,0.5619704041139387,1,1,1,0.22999954223632812,871.4019966125488,1.4830684525766295e+34,False,0
2019-06-26,44.0620002746582,0,44.28639907836914,0.6549886240807845,-0.3425995436575149,1,1,1,-0.8159980773925781,915.463996887207,6.6830031017345e+35,False,0
2019-06-27,43.88999938964844,0,44.14439926147461,0.6469174566574207,-0.39324935385209797,1,1,1,-0.17200088500976562,959.3539962768555,3.000000051578803e+37,False,0
2019-06-28,44.198001861572266,0,44.33519973754883,0.41356322037340293,-0.3317458352623481,1,1,1,0.3080024719238281,1003.5519981384277,1.3559400791597562e+39,False,0
2019-07-01,46.04199981689453,0,44.613999938964845,0.8818749399261104,1.6192770803185923,1,1,1,1.8439979553222656,1049.5939979553223,6.378613295555321e+40,False,0
2019-07-02,45.77799987792969,0,44.794000244140626,1.0288359666584537,0.9564203290685724,1,1,1,-0.26399993896484375,1095.371997833252,2.983787719608475e+42,False,0
2019-07-03,47.87799835205078,0,45.55719985961914,1.604436497192909,1.4464882196908797,1,1,1,2.0999984741210938,1143.2499961853027,1.458415712418924e+44,False,0
2019-07-05,46.91400146484375,0,46.162000274658205,1.3719786234496423,0.548114363687932,1,1,1,-0.9639968872070312,1190.1639976501465,6.987853258119147e+45,False,0
2019-07-08,46.24800109863281,0,46.572000122070314,0.8424530214708736,-0.38459001888534755,1,1,1,-0.6660003662109375,1236.4119987487793,3.3016209841669834e+47,False,0
2019-07-09,45.79399871826172,0,46.52239990234375,0.8875518753006377,-0.820685758604591,1,1,1,-0.45400238037109375,1282.205997467041,1.544960481012958e+49,False,0
2019-07-10,46.83000183105469,0,46.73280029296875,0.7858338332182591,0.12369222853114724,1,1,1,1.0360031127929688,1329.0359992980957,7.389546263575692e+50,False,0
2019-07-11,47.62799835205078,0,46.68280029296875,0.6977714927146627,1.354595406878492,1,1,1,0.7979965209960938,1376.6639976501465,3.5933884352756175e+52,False,0
2019-07-12,47.95000076293945,0,46.89000015258789,0.9062593950227019,1.1696437203004248,1,1,1,0.3220024108886719,1424.613998413086,1.758963666482793e+54,False,0
